date,home_team,away_team,tournament,neutral,actual_result,predicted_result,home_win_probability,draw_probability,away_win_probability,confidence,correct,analysis,key_factors,status,error
2026-06-09,Indonesia,Mozambique,Friendly,0,HOME_WIN,HOME_WIN,0.52,0.22,0.26,0.65,1,"Long-term Elo shows marginal Mozambique advantage (1503 vs 1487), but recent form strongly favors Indonesia across 5 and 10-match samples. Indonesia demonstrates superior defensive solidity (clean sheet rate 40-60% vs 0-20%) and better offensive production. Points per game differential 1.2 vs 0.8 (last 5) reflects Indonesia's recent consistency. However, very small Elo gap and Mozambique's significant rest recovery (60 days vs Indonesia's 4) prevent high confidence. Draw probability elevated due to Mozambique's draw history (20% last 5), conflicting signals between long-term and short-term metrics, and both teams' overall instability. Friendly match context adds minor uncertainty.","[""Indonesia significantly superior defensive form: 1.0 GA vs 2.2 GA in last 5 games"", ""Indonesia better offensive output: 1.8 GF vs 1.2 GF in last 5 games"", ""Indonesia win rate 40% last 5 / 50% last 10 vs Mozambique 20% / 30%"", ""Close Elo ratings (-16.4 difference) limits confidence in strong Indonesia lean"", ""Mozambique substantial rest advantage (60 vs 4 days) may partially offset form gap"", ""Both teams show high loss rates (60% in last 5), indicating instability""]",SUCCESS,
2026-06-09,Tajikistan,India,Friendly,0,DRAW,HOME_WIN,0.72,0.13,0.15,0.82,0,"Tajikistan demonstrates overwhelming long-term and short-term superiority with no contradictory signals. The 165-point Elo advantage, 80% win rate across both recent periods, and dominant home head-to-head record (4 wins, 1 draw in 5 matches) support a strong home victory probability. India faces compounding disadvantages: complete recent collapse (5 consecutive losses), weak goal-scoring ability (0.4/5), poor defense (1.8 conceded/5), and zero wins in last 5 matches. While the draw probability is modest at 13%, it reflects moderate variance inherent in football rather than any sign of competitive balance. Away win probability at 15% accounts for match unpredictability and India's historical 20% draw rate over 10 matches, though recent form offers minimal support for an upset. Both teams show equal rest (4 days), so no fatigue factor mitigates Tajikistan's advantage.","[""Elo difference of 165 points strongly favors Tajikistan"", ""Tajikistan 80% win rate over last 5 and 10 matches vs India 0% in last 5"", ""Tajikistan 4-0-1 head-to-head record at home (80% win rate)"", ""India 5-game losing streak with -1.4 goal differential"", ""Tajikistan strong offense (3.0 goals/5) and defense (0.6 goals against/5)"", ""India weak metrics: 0.4 goals/5, 1.8 conceded/5, 0% clean sheet in last 5""]",SUCCESS,
2026-06-09,Azerbaijan,San Marino,Friendly,1,HOME_WIN,HOME_WIN,0.7,0.15,0.15,0.65,1,"Azerbaijan's 412-point Elo advantage is decisive and supported by H2H dominance (2-0). However, Azerbaijan's recent form collapse (10% win rate, -1.1 goal difference in last 10 matches) prevents extreme confidence. San Marino's situation is catastrophic (0 wins in 10, -3.5 goal difference), making them unlikely to compete despite neutral venue. While Azerbaijan's form deterioration merits confidence reduction from typical Elo predictions, the skill gap remains clear. Draw probability reflects both teams' defensive fragility and mutual poor form, but remains modest due to the structural advantage Azerbaijan maintains. Confidence is moderate due to form volatility conflicting with strong Elo signal.","[""Elo difference of 412 points overwhelmingly favors Azerbaijan"", ""Azerbaijan 2-0 in head-to-head history"", ""Both teams in severe form collapse; Azerbaijan less severe"", ""San Marino averaging only 0.4 goals per match (last 10)"", ""Azerbaijan 10% win rate (last 10) vs San Marino 0% creates gap despite poor form"", ""Both teams have 0% clean sheet rates; vulnerability in defense"", ""Neutral venue eliminates any home advantage effect""]",SUCCESS,
2026-06-09,China,Thailand,Friendly,0,DRAW,HOME_WIN,0.37,0.26,0.37,0.62,0,"China holds a marginal long-term advantage by Elo (+21.5) and dominant h2h record at home (80% win rate), supported by home field benefit. However, Thailand exhibits substantially superior recent performance: 80% win rate over last 5 matches versus China's 60%, outstanding offensive metrics (3.4 goals/match vs 1.4), and strong consistency over 10 matches (70% win, +1.5 goal difference). This creates a significant conflict between stable long-term indicators and near-term trajectory. China's defensive metrics show deterioration (1.2 GA last 10), while Thailand maintains strong defensive organization (0.9 GA, 50% clean sheets). Given the narrow Elo separation, mutually strong defensive records, and competing signals from different time horizons, draw emerges as a realistic outcome alongside competitive win probabilities for both sides. The prediction reflects high uncertainty warranted by the data conflict.","[""Thailand dominates recent form (80% win last 5, 70% last 10 vs China 60% and 40%)"", ""Thailand's attacking significantly stronger (3.4 GF last 5 vs China 1.4)"", ""Small Elo difference (21.5 points) indicates close long-term strength"", ""China's strong h2h record at home (80% win, 20% draw in 5 prior matches)"", ""Conflicting signals between long-term advantage (China) and recent form (Thailand)"", ""Both teams show solid defensive capability in recent matches"", ""Friendly match context may increase draw likelihood""]",SUCCESS,
2026-06-09,Equatorial Guinea,Comoros,Friendly,1,AWAY_WIN,HOME_WIN,0.42,0.28,0.3,0.62,0,"Long-term strength nearly identical (Elo difference only 10.90 points), with Equatorial Guinea holding marginal advantage. Recent form shows conflicting signals: Equatorial Guinea demonstrates better attacking capability (0.8 goals/match vs Comoros' 0 in last 5), but Comoros shows substantially superior defensive performance (60% clean sheet rate vs 20%). Comoros displays strong draw pattern tendency across both 5-match and 10-match periods, suggesting defensive, low-scoring approach. Both teams show negative goal differences and overall weakness, with more losses than wins. Neutral venue prevents home advantage bias. The draw probability is elevated due to: minimal Elo gap, Comoros' proven draw pattern, strong defensive signals, conflicting attack/defense dynamics, and both teams' poor form. Equatorial Guinea receives slight edge due to superior attacking form despite Comoros' defensive strength, but confidence remains moderate due to small samples and mixed signals.","[""Minimal Elo difference (10.90) - nearly equivalent long-term strength"", ""Equatorial Guinea shows superior recent attacking form (0.8 vs 0.0 goals/match in last 5)"", ""Comoros demonstrates strong defensive performance (60% clean sheet rate in last 5)"", ""Comoros exhibits consistent draw tendency (60% in last 5, 40% in last 10 matches)"", ""Both teams with negative goal differences indicating poor overall form"", ""Neutral venue eliminates home advantage"", ""Conflicting signals: EG attacks better but Comoros defends significantly better"", ""Small sample sizes and poor form of both teams limit prediction confidence""]",SUCCESS,
2026-06-09,Belarus,Burkina Faso,Friendly,0,DRAW,AWAY_WIN,0.35,0.28,0.37,0.56,0,长期实力：Burkina Faso通过129分Elo优势占先。近期状态存在冲突——Belarus最近5场表现突出（胜率60%、净胜球+1.0），但最近10场陷入困境（胜率30%、净胜球-1.1），反映其状态不稳定。Burkina Faso则相对稳定，最近10场胜率60%与Elo评分相符。防守方面，Belarus近期更强（失0.8球/场），但样本仅5场。进攻端Burkina Faso略占优（最近10场进1.9球/场）。由于两队整体实力接近（Elo差距<150分）且Belarus状态趋势不明确，平局概率不应过低。预测客队略占上风，但主队反弹空间存在。,"[""Burkina Faso长期Elo评分高129分，反映实力优势"", ""Belarus最近5场强势（胜率60%）与最近10场低迷（胜率30%）形成矛盾，指向反弹但基础不稳"", ""Burkina Faso最近10场表现稳定（胜率60%，净胜球+0.7），验证长期实力"", ""双方防守能力接近，Belarus近期零封率略高但样本小"", ""两队Elo差距和近期状态冲突导致不确定性较高""]",SUCCESS,
2026-06-09,Angola,Central African Republic,Friendly,1,HOME_WIN,HOME_WIN,0.52,0.28,0.2,0.68,1,长期实力：安哥拉Elo 1532 vs 中非1391，领先141分对应显著实力差异。近期状态：安哥拉最近10场得分率60%、防线稳健，中非则连续表现低迷、防线崩溃（失球1.9-2.4）。进攻防守综合指标显示安哥拉全面压制。平局判断：尽管实力差异明显，但安哥拉最近表现出极高平率（最近5场3平、10场5平），这是数据中最明确的特征，不应忽视。中非虽然整体弱势，但友谊赛背景下结果相对更多变。综合考虑，安哥拉获胜最可能，但平局概率需要明显提升至28%以反映历史数据中的平率特征。,"[""Elo差距141分，安哥拉长期实力明显领先"", ""最近5场和10场进球失球对比：安哥拉进攻1.1-1.2，防线1.2失球；中非进球仅0.7-0.8，防线1.9-2.4失球"", ""安哥拉最近5场平率60%、10场平率50%，历史平局倾向强，提高平局概率"", ""中非最近5场负率60%、10场负率60%，防守极度脆弱无零封"", ""交手记录显示安哥拉75%胜率（3:1），历史占绝对优势"", ""中立场消除主客优势，双方无场地差异""]",SUCCESS,
2026-06-09,Cambodia,Hong Kong,Friendly,0,HOME_WIN,AWAY_WIN,0.2,0.25,0.55,0.78,0,长期与近期数据均一致指向香港优势。Elo评分差距（-212）明确反映实力差，香港防守能力显著优于柬埔寨（零封率与失球数据差异明显），进攻能力也略优（近期均1.9 vs 1.5场均进球）。最关键的H2H数据显示柬埔寨在主场对香港历来0胜，无主场优势可言。近期5场与10场数据均无冲突，香港平均得分1.6 vs 0.8形成2倍差距。虽然平局在两队H2H中占40%，但这不足以对抗其他多维度的劣势信号。柬埔寨短期负率高（60%）难以克服；香港状态稳定。预测香港客队胜利为最高概率，但保留充分的平局空间（25%）以尊重H2H历史和足球比赛的不确定性。,"[""Elo差距明显：香港+212分，长期实力差距清晰"", ""H2H历史关键：柬埔寨主场对香港0%胜率（0胜5场），客队胜率60%"", ""防守能力悬殊：香港10场零封率50% vs 柬埔寨10%；场均失球香港0.9 vs 柬埔寨1.8"", ""近期状态一致指向香港：10场与5场数据均显示香港胜率40% vs 柬埔寨20%"", ""H2H平率40%支持平局可能性，不可完全忽视""]",SUCCESS,
2026-06-09,Argentina,Iceland,Friendly,1,HOME_WIN,HOME_WIN,0.73,0.19,0.08,0.82,1,长期实力：Argentina凭借Elo优势（2007 vs 1566）拥有绝对领先地位。近期状态：Argentina保持卓越表现（5场全胜3.4球/场、防线失球仅0.2个），而Iceland最近陷入低迷（5场无胜、失球2.0个/场）。进攻防守：Argentina进攻效率和防守硬度均远超Iceland，后者在最近5场甚至未能零封。平局评估：虽然双方实力差距明显通常压低平局概率，但考虑到H2H唯一交锋结果为平局、中立场比赛特性和友谊赛属性，给予平局19%的合理空间。Iceland胜率极低，主要源于其持续不佳的近期状态和防守脆弱性。,"[""Elo评分差距巨大（440.68），Argentina长期综合实力明显领先"", ""Argentina最近5场100%胜率、10场80%胜率；Iceland最近5场无胜、10场仅20%胜率"", ""Argentina进攻能力远强（5场平均3.4球 vs Iceland 0.6球）、防守极强（5场失0.2球、80%零封率）"", ""H2H唯一交锋为平局，虽样本极小但提示平局存在可能性"", ""中立场消除主客优势，不改变实力对比结论"", ""Iceland休息时间充足（9天），但不足以弥补巨大实力差距""]",SUCCESS,
2026-06-09,Iraq,Venezuela,Friendly,1,AWAY_WIN,HOME_WIN,0.4,0.25,0.35,0.68,0,"Iraq shows stronger long-term fundamentals with 50% win rate and better goal difference over 10 matches, supported by 24-point Elo advantage. However, recent 5-match records are identical, suggesting form has converged. Venezuela has improved offensive output recently (1.2 goals/match) while maintaining defensive solidity (40% clean sheet rate last 5). The small Elo gap, neutral venue, and contrasting signals between timeframes prevent high confidence. Iraq favored slightly due to longer-term consistency and rest advantage, but Venezuela remains competitive. Draw probability elevated due to defensive strength of both teams and recent parity.","[""Iraq superior long-term form (50% vs 30% win rate over 10 matches)"", ""Elo difference small (24 points) indicates competitive match"", ""Identical 5-match records (2W-1D-2L) create draw potential"", ""Iraq better goal difference and defense over 10 matches (+0.3 vs -0.6)"", ""Venezuela improved recent offensive threat (1.2 vs 0.8 goals/match last 5)"", ""Iraq rest advantage (+2 days) on neutral ground"", ""Both teams similar clean sheet rates recently (Venezuela 40% last 5)"", ""Conflict between short-term parity and long-term Iraq advantage reduces certainty""]",SUCCESS,
