date,home_team,away_team,tournament,neutral,actual_result,predicted_result,home_win_probability,draw_probability,away_win_probability,confidence,correct,analysis,key_factors,status,error
2026-06-04,Sweden,Greece,Friendly,0,DRAW,AWAY_WIN,0.32,0.32,0.36,0.72,0,"Greece edges as slight favorite despite playing away, driven by superior rest status, marginally better Elo rating, and recent 10-match form stability. Sweden's home advantage is undermined by structural defensive vulnerabilities (zero clean sheets last 5 matches, 2.2 goals conceded). Greece's defensive-first approach (40% clean sheets) combined with adequate rest recovery creates tactical advantage. The match appears tightly contested with elevated draw probability (32%) due to Greece's tendency toward draws and defensive posturing. Sweden's poor defensive metrics create vulnerability to Greece's patient build-up despite hosting.","[""Greece holds minimal Elo advantage (1700.17 vs 1689.62) offsetting Sweden's home ground"", ""Greece significantly better rested (60 rest days vs 3), critical factor in friendly matches"", ""Greece demonstrates defensive solidity: 40% clean sheet rate (5 matches), 30% (10 matches) vs Sweden's 0%"", ""Sweden's poor defensive record: 2.2 goals conceded per match (5) is structural weakness despite home advantage"", ""Greece shows stronger 10-match stability (40% win, 1.4 avg points) vs Sweden's declining form (30% win, 1.1 avg points)"", ""Greece's defensive organization (0.8 goals for/5 matches) limits Sweden's offensive efficiency despite Sweden's 1.8 goals per match"", ""H2H balanced (0.4-0.2-0.4) provides no predictive advantage; Greece's recent draw rate (40% vs 20% H2H) suggests higher draw likelihood""]",SUCCESS,
2026-06-09,Indonesia,Mozambique,Friendly,0,HOME_WIN,HOME_WIN,0.55,0.18,0.27,0.75,1,Indonesia作为主队表现优于客队Mozambique。虽然Mozambique的Elo评分略高16分，但近期5场和10场的数据显示Indonesia在胜率、失球控制和积分上均有显著优势。Indonesia防守能力强(clean sheet 60%)，而Mozambique防线脆弱(最近5场0次零封)。Mozambique充分的休息天数是其唯一优势，但不足以抵消近期表现的巨大差距。预测Indonesia主场胜。,"[""Indonesia最近5场胜率40% vs Mozambique 20%，优势显著"", ""Indonesia防守稳定（失球1.0 vs Mozambique 2.2），clean sheet率高"", ""Indonesia主场优势且Elo接近但近期表现更好"", ""Mozambique虽有充分休息但近期表现持续低迷，平均失球过多"", ""Indonesia过去10场更稳定（胜率50%），防守clean sheet率60%""]",SUCCESS,
2026-06-09,Azerbaijan,San Marino,Friendly,1,HOME_WIN,HOME_WIN,0.68,0.18,0.14,0.75,1,尽管Azerbaijan近期战绩欠佳（最近5场仅20%胜率），但其Elo评分、进球效率和H2H战绩均显示明显优势。San Marino陷入极端低谷（最近10场90%负率），防线频频告急。中立场地条件下，两队长期实力对比是主要决定因素，Azerbaijan获胜概率明显高于平局和客队胜率。,"[""Elo差值412点，Azerbaijan长期实力明显优于San Marino"", ""H2H战绩100%主队胜率（2场均胜）"", ""Azerbaijan近5场进球数多（1.6 vs 0.6），San Marino防守脆弱（失2.4球/场）"", ""San Marino最近10场仅1%平局率、0%胜率，极度低迷"", ""中立场地不给予传统主场优势，但不改变实力差异""]",SUCCESS,
2026-06-09,Ethiopia,Malawi,Friendly,0,DRAW,HOME_WIN,0.5,0.3,0.2,0.65,0,基于结构化数据，Ethiopia因主场优势、近期胜率优势(40% vs 20%)和H2H优势(40% vs 20%)被评为预测胜者。然而，Malawi防线相对稳定（过去5场失0.6球），且两队Elo相近表明实力竞争。H2H历史中40%的平局率结合两队近期表现不佳，提高了平局概率至30%。Malawi的极低进攻效率（0.2球/5场）限制了其客场获胜可能性至20%。,"[""Ethiopia的主场优势和过去5场40%的胜率优于Malawi的20%"", ""H2H历史中Ethiopia 40%胜率vs Malawi 20%胜率，且40%平局率较高"", ""Malawi近期进攻能力极弱（过去5场平均0.2球），削弱了其威胁"", ""两队Elo评分几乎相同（差异-1.90），表明整体实力接近"", ""Ethiopia防线堪忧（过去5场平均失1.4球），但Malawi难以利用"", ""友谊赛性质可能导致比赛强度较低，增加平局概率""]",SUCCESS,
2026-06-09,Iraq,Venezuela,Friendly,1,AWAY_WIN,HOME_WIN,0.4,0.21,0.39,0.68,0,Iraq在中期(10场)表现显著优于委内瑞拉，防线稳定性、得失球差和积分效率均占优。虽然近5场两队战绩相同，但Iraq的历史表现和防线稳定性支持其获胜。委内瑞拉在近期进球数略高，且中立场地削弱了Iraq的场地优势。综合Elo、10场表现、防线稳定性和休息优势，Iraq略占上风，但鉴于近期表现接近和友谊赛性质，差距不大。信心值中等，因缺乏交战记录且两队近期数据波动较大。,"[""Iraq显著的中期表现优势：10场内赢率50%对委内瑞拉的30%"", ""Iraq防线稳定性更强：10场平均失球0.8对1.7，且近期防守有所改善"", ""Elo评分优势：Iraq 1726.08 vs 1702.03，差值+24.06"", ""休息天数优势：Iraq 5天 vs 委内瑞拉3天"", ""近5场表现相当：两队战绩相同(40%-20%-40%)，但委内瑞拉近期进攻更强(1.2 vs 0.8)"", ""中立场地：消除主队传统主场优势，但Iraq实力优势仍存""]",SUCCESS,
2026-06-09,Argentina,Iceland,Friendly,1,HOME_WIN,HOME_WIN,0.78,0.12,0.1,0.85,1,基于输入特征，阿根廷全方位优于冰岛。Elo差距440分、近5场表现天差地别（阿根廷5连胜vs冰岛0胜3负）、进攻效率和防线稳定性均处于绝对压倒性地位。中立场地虽消除传统主场优势，但无法改变两队实力根本差距。历史交手唯一一次以平局结束，暗示在极端情况下平局可能，但概率依然较低。综合判断，阿根廷胜利最为合理，信心度0.85反映友谊赛的不确定性因素。,"[""阿根廷Elo等级2007 vs 冰岛1566，差距440分，显示长期实力压倒性优势"", ""近5场表现差异巨大：阿根廷100%胜率(5:0) vs 冰岛0%胜率且60%败绩"", ""进攻端效率：阿根廷3.4球/场 vs 冰岛0.6球/场，差距2.8球"", ""防守稳定性：阿根廷0.2失球/场(80%零封率) vs 冰岛2.0失球/场(0%零封率)"", ""历史交手1次以平局收场，表明冰岛具有一定防线组织能力"", ""中立场地消除阿根廷主场优势""]",SUCCESS,
2026-06-09,Armenia,Moldova,Friendly,0,DRAW,HOME_WIN,0.42,0.38,0.2,0.55,0,主队Armenia凭Elo评分优势（1431 vs 1302）略占上风，但双方最近状态都处于低谷。H2H历史显示平局概率异常高（60%），结合两队都在不佳状态、防守脆弱的特点，平局风险明显提升。友谊赛背景进一步增加不确定性。主队主场优势和Elo优势支持其获胜，但幅度有限。置信度中等偏低，源于比赛特征的整体不确定性。,"[""Elo差异128分给予主队长期优势"", ""H2H历史中平局率达60%，高于正常水平"", ""两队最近5-10场表现都极差（负率80%），削弱主队优势"", ""双方防守均不稳定（零封率0%），暗示较难预测的比赛"", ""友谊赛特性可能降低比赛竞争强度，增加平局风险""]",SUCCESS,
2026-06-09,Angola,Central African Republic,Friendly,1,HOME_WIN,HOME_WIN,0.63,0.2,0.17,0.75,1,基于Elo评分差异和近期表现，Angola明显占优。CAR防线脆弱（最近5场仅0失球率），进攻乏力（40%进球率），与Angola的稳定表现形成明显对比。H2H历史记录支持Angola胜利。虽然Angola最近频繁平局（60%），但在中立场和实力差异支撑下，主队胜利仍是最可能结果。,"[""Elo差值141分，Angola长期实力明显优于CAR"", ""最近5场：Angola 0.2胜率+0.6平率表现稳定，CAR 0.6负率表现不佳"", ""防守对比：Angola场均1.2失球 vs CAR场均2.4失球，CAR最近5场无零封"", ""历史对阵：H2H 4场中Angola赢率75%，保持压制"", ""中立场地消除主场优势，但不改变整体实力差异""]",SUCCESS,
2026-06-09,Belarus,Burkina Faso,Friendly,0,DRAW,AWAY_WIN,0.25,0.22,0.53,0.72,0,基于长期稳定数据，Burkina Faso实力明显优于Belarus。虽然Belarus最近5场表现突出，但其10场数据(50%负率、-1.1净胜球)表明这是短期波动。Burkina Faso的10场60%胜率和+0.7净胜球更能反映其真实实力。Belarus的主场优势和友谊赛的不确定性提升了其获胜概率，但客队仍是更强的一方。平局概率维持在合理水平(22%)，考虑两队防守能力和友谊赛特性。,"[""Burkina Faso Elo评分高129分，长期实力优势明显"", ""Burkina Faso最近10场胜率60%远强于Belarus的30%，长期表现稳定更可信"", ""Belarus最近5场胜率60%与10场的30%存在重大差异，说明短期波动不稳定"", ""Belarus主场优势约3-5%，但不足以抵消130分Elo差距"", ""Burkina Faso防守稳定(10场失球1.2)，进攻效率更高(1.9)""]",SUCCESS,
2026-06-09,Cambodia,Hong Kong,Friendly,0,HOME_WIN,AWAY_WIN,0.17,0.25,0.58,0.75,0,香港整体实力明显强于柬埔寨。Elo评分差距212点反映了长期实力悬殊；近期5场和10场数据均显示香港胜率、积分、防线稳定性全面领先。最关键的是历史交手数据，柬埔寨在主场从未战胜香港（5场0胜），而香港客场战绩为3胜2平，这强烈预示访客优势。虽然柬埔寨获得额外1天休息，但无法弥补实力差距。考虑到友谊赛的不确定性和40%平局概率，客队获胜概率估为58%。,"[""香港的Elo等级高212.39分，长期实力明显优于柬埔寨"", ""近期表现差异大：香港胜率40%，柬埔寨仅20%"", ""历史交手完全压制：柬埔寨主场0场胜利，香港客场60%胜率"", ""防守稳定性：香港近10场零封率50%，柬埔寨仅10%"", ""柬埔寨近期战绩低迷：最近5场3场失利，过去10场6场失利""]",SUCCESS,
